"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,9282000,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,101205395,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,92947064,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,80597121,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,67058511,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,61594008,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,49809249,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,50155449,"B","Break"
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,47092742,,
"ITA","Italy","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,54714492,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,104652265,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,112892691,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,92173907,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,71622386,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,92288533,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,99666530,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,98521341,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,99775795,,
"KOR","Korea","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,101067931,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,56544,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,57344,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,47627,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,58586,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,67251,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,95648,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,98732,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,101110,,
"LUX","Luxembourg","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,103265,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,69689250.176,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,65591265.095,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,68561212.146,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,71290880.64,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,74667794.317,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,78526992.331,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,80745909.794,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,85938509.49,,
"MEX","Mexico","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,89874177.425,"P","Provisional value"
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,17450000,,
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,17959000,,
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,17708000,,
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,17740000,,
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,21147000,"B","Break"
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,21267000,,
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,21931000,,
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,22311000,,
"NLD","Netherlands","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,23054000,,
"NZL","New Zealand","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,15064000,,
"NZL","New Zealand","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,16681000,,
"NZL","New Zealand","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,15872000,,
